Address (google maps),Landmark
"Av. de Concha Espina, 1, 28036 Madrid, Spain",Real Madrid Stadium
"Av. Rafael Alberti, 8, 28038 Madrid, Spain",Supermarket in Madrid
"Pl. de Pilatos, 1, 41003 Sevilla, Spain",Casa de Pilatos
"Calle Dr. Pedro de Castro, 7, 41004 Sevilla, Spain",Coffee shop in Seville
"Plaça de la Ciutat de Bruges, s/n, 46001 València, Valencia, Spain",The Central Market of Valencia
"Carrer de la Mare de Déu de la Pau, 25, 46900 Torrent, Valencia, Spain",Small Building in Valencia
"Plaza los Sitios, 6, 50001 Zaragoza, Spain",Zaragoza Museum
"C. Lasierra Purroy, 50007 Zaragoza, Spain",Small Building in Zaragoza
"Abandoibarra Etorb., 2, 48009 Bilbo, Bizkaia, Spain",Guggenheim Museum Bilbao
"Barrondo Auzoa, 5, 48480 Zaratamo, Bizkaia, Spain",Small rural house outside Bilbao
